i,name,file,seeds,d,m,min,max,region,family,reviewed
348,Ardennais,namebases-europe.js,50,nlrs,0,4,11,Europe,Oïl Dialects,[ ]
349,Berrichon,namebases-europe.js,50,nlrs,0,4,11,Europe,Oïl Dialects,[ ]
350,Bourbonnais,namebases-europe.js,50,nlrs,0,4,11,Europe,Oïl Dialects,[ ]
351,French (fra),namebases-europe.js,50,lnrs,0,4,11,None,None,[ ]
352,Frainc-Comtou,namebases-europe.js,50,nlrs,0,4,11,Europe,Oïl Dialects,[ ]
353,Gallo,namebases-europe.js,50,nlrs,0,4,11,Europe,Oïl Dialects,[ ]
354,Gaumais,namebases-europe.js,50,nlrs,0,4,11,Europe,Oïl Dialects,[ ]
355,Law French,namebases-europe.js,50,nlrs,0,4,11,Europe,Oïl Dialects,[ ]
356,Lorrain,namebases-europe.js,50,nlrs,0,4,11,Europe,Oïl Dialects,[ ]
357,Mayennais,namebases-europe.js,50,nlrs,0,4,11,Europe,Oïl Dialects,[ ]
358,Meridional French,namebases-europe.js,50,nlrs,0,4,11,Europe,Oïl Dialects,[ ]
360,Orleanais,namebases-europe.js,50,lnrt,0,4,11,None,None,[ ]
361,Paydret,namebases-europe.js,50,nlrs,0,4,11,Europe,Oïl Dialects,[ ]
362,Picard,namebases-europe.js,50,nlrs,0,4,11,Europe,Oïl Dialects,[ ]
364,Aeolian,namebases-europe.js,50,cltr,0,4,11,Europe,Sicilian,[ ]
366,Alentejan,namebases-europe.js,50,lrs,0,4,11,Europe,Portuguese,[ ]
367,Algherese,namebases-europe.js,50,lr,0,4,11,Europe,Catalan,[ ]
368,Ancona,namebases-europe.js,50,cltr,0,4,11,Europe,Central Italian,[ ]
369,Andalusi Romance,namebases-europe.js,50,bns,0,4,11,Europe,Mozarabic,[ ]
370,Andalusian,namebases-europe.js,50,lnrt,0,4,11,None,None,[ ]
371,Ansó,namebases-europe.js,50,lr,0,4,11,Europe,Aragonese,[ ]
372,Aretino-Chianaiolo,namebases-europe.js,50,cltr,0,4,11,Europe,Tuscan,[ ]
373,Argentinian Spanish,namebases-europe.js,50,lnrs,0,4,11,None,None,[ ]
374,Arpitan,namebases-europe.js,50,nlrs,0,4,11,Europe,Arpitan,[ ]
376,Auvergnat,namebases-europe.js,50,nlr,0,4,11,Europe,Occitan,[ ]
377,Balearic,namebases-europe.js,50,lr,0,4,11,Europe,Catalan,[ ]
378,Banat,namebases-europe.js,50,lnr,0,4,11,Europe,Daco-Romanian,[ ]
379,Barranquenho,namebases-europe.js,50,lrs,0,4,11,Europe,Portuguese,[ ]
381,Bercian,namebases-europe.js,50,lr,0,4,11,Europe,Astur-Leonese,[ ]
382,Bergamasque,namebases-europe.js,50,lnrt,0,4,11,Europe,Eastern Lombard,[ ]
384,Bolognese,namebases-europe.js,50,lnrt,0,4,11,Europe,Emilian-Romagnol,[ ]
385,Bauchi Chadic,namebases-africa.js,47,lnrt,0,4,11,None,None,[ ]
386,East Chadic,namebases-africa.js,47,lnrt,0,4,11,Africa,Chadic,[ ]
387,Brianzoo,namebases-europe.js,50,lnrt,0,4,11,None,None,[ ]
388,Brigasc,namebases-europe.js,50,cltr,0,4,11,Europe,Ligurian,[ ]
389,British Latin,namebases-europe.js,50,ln,0,4,11,Europe,Latin,[ ]
390,Bukovinian,namebases-europe.js,50,lnr,0,4,11,Europe,Daco-Romanian,[ ]
391,Canzes,namebases-europe.js,50,lnrt,0,4,11,None,None,[ ]
392,Central-Northern Lazian,namebases-europe.js,50,cltr,0,4,11,Europe,Central Italian,[ ]
393,Cheso,namebases-europe.js,50,lr,0,4,11,Europe,Aragonese,[ ]
396,Seri,namebases-northAmerica.js,41,lnrt,0,4,11,North America,Seri isolate,[ ]
398,Omaio-Shabo-Seze,namebases-africa.js,47,lnrt,0,5,11,None,None,[ ]
399,Comasco-Lecchese,namebases-europe.js,50,lnrt,0,4,11,Europe,Western Lombard,[ ]
400,Corsican,namebases-europe.js,50,cltr,0,4,11,Europe,Corsican,[ ]
401,Cremish,namebases-europe.js,50,lnrt,0,4,11,Europe,Eastern Lombard,[ ]
402,Cremun-S,namebases-europe.js,50,lnrt,0,4,11,None,None,[ ]
403,Cri-ana,namebases-europe.js,50,lnrt,0,4,11,None,None,[ ]
404,Daco-Romanian,namebases-europe.js,50,lnr,0,4,11,Europe,Daco-Romanian,[ ]
405,Dalmatian,namebases-europe.js,50,lnrs,0,4,11,Europe,Dalmatian Romance,[ ]
406,Eastern Aragonese,namebases-europe.js,50,lr,0,4,11,Europe,Aragonese,[ ]
407,Eastern Catalan,namebases-europe.js,50,lnrs,0,4,11,Europe,Eastern,[ ]
408,Eastern Lombard,namebases-europe.js,50,lnrt,0,4,11,Europe,Eastern Lombard,[ ]
409,Eastern Nonmetafonetica,namebases-europe.js,50,cltr,0,4,11,Europe,Sicilian,[ ]
410,Eastern Romanian,namebases-europe.js,50,lnr,0,4,11,Europe,Eastern Romance,[ ]
411,Ecuadorian Spanish,namebases-europe.js,50,lnrs,0,4,11,Europe,Latin American,[ ]
412,Emilian,namebases-europe.js,50,lnrt,0,4,11,Europe,Emilian-Romagnol,[ ]
413,Doteli,namebases-asia.js,41,tdnl,0,4,11,Asia,Central Pahari,[ ]
414,Achhami Doteli,namebases-asia.js,41,lnrt,0,4,11,None,None,[ ]
415,Baitadeli Doteli,namebases-asia.js,41,lnrt,0,4,11,None,None,[ ]
416,Bajhangi Doteli,namebases-asia.js,41,lnrt,0,4,11,None,None,[ ]
417,Darchuleli Doteli,namebases-asia.js,41,lnrt,0,4,11,None,None,[ ]
418,Bajureli Doteli,namebases-asia.js,41,lnrt,0,4,11,None,None,[ ]
